department,municipality_id,municipality,year,month,population,value
Potosí,50203,Llallagua,2017,2,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31301,Mizque,2017,2,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10303,Mojocoya,2017,2,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,2,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,2,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,2,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31401,Punata,2017,2,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,2,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,2,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,2,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10601,Tarabuco,2017,2,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30903,Tiquipaya,2017,2,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30802,Toco,2017,2,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10801,Villa Serrano,2017,2,a. Menor de 6 meses / FEMENINO,0
Potosí,51501,Villazon,2017,2,a. Menor de 6 meses / FEMENINO,0
Potosí,50103,Yocalla,2017,2,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30201,Aiquile,2017,3,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30801,Cliza,2017,3,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30905,Colcapirhua,2017,3,a. Menor de 6 meses / FEMENINO,0
La Paz,21402,Coripata,2017,3,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71503,El Puente(stc),2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70705,Gutierrez,2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70104,La Guardia,2017,3,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,3,a. Menor de 6 meses / FEMENINO,0
Oruro,40702,Machacamarca,2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31301,Mizque,2017,3,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10401,Padilla,2017,3,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30901,Quillacollo,2017,3,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71104,San Julian,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10702,San Lucas,2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,3,a. Menor de 6 meses / FEMENINO,0
La Paz,20308,Santiago De Callapa,2017,3,a. Menor de 6 meses / FEMENINO,0
La Paz,21301,Sica Sica (villa Aroma),2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30902,Sipe Sipe,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10403,Sopachuy,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10601,Tarabuco,2017,3,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10402,Tomina,2017,3,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2017,3,a. Menor de 6 meses / FEMENINO,0
Potosí,50801,Tupiza,2017,3,a. Menor de 6 meses / FEMENINO,0
Potosí,51501,Villazon,2017,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70201,Warnes,2017,3,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10602,Yamparaez,2017,3,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30403,Arbieto,2017,4,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71301,Comarapa,2017,4,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,4,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,4,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,4,a. Menor de 6 meses / FEMENINO,0
La Paz,20102,Palca,2017,4,a. Menor de 6 meses / FEMENINO,0
Potosí,51203,Porco,2017,4,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,4,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,4,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,4,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71005,San Pedro,2017,4,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,4,a. Menor de 6 meses / FEMENINO,0
Oruro,40202,Santuario De Quillacas,2017,4,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10403,Sopachuy,2017,4,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,4,a. Menor de 6 meses / FEMENINO,0
La Paz,20603,Tacacoma,2017,4,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2017,4,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10202,Tarvita,2017,4,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30802,Toco,2017,4,a. Menor de 6 meses / FEMENINO,0
Potosí,50801,Tupiza,2017,4,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70201,Warnes,2017,4,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30201,Aiquile,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30403,Arbieto,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70706,Camiri,2017,5,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,5,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,5,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,5,a. Menor de 6 meses / FEMENINO,0
Beni,80202,Guayaramerin,2017,5,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31301,Mizque,2017,5,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10501,Monteagudo,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71001,Montero,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70502,Pailon,2017,5,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31401,Punata,2017,5,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70901,Samaipata,2017,5,a. Menor de 6 meses / FEMENINO,0
Beni,80602,San Andres,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70402,San Carlos,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71104,San Julian,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,5,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30902,Sipe Sipe,2017,5,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10403,Sopachuy,2017,5,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,5,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10601,Tarabuco,2017,5,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2017,5,a. Menor de 6 meses / FEMENINO,0
La Paz,20606,Tipuani,2017,5,a. Menor de 6 meses / FEMENINO,0
Potosí,50801,Tupiza,2017,5,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71501,Ascencion De Guarayos,2017,6,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,6,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,6,a. Menor de 6 meses / FEMENINO,0
La Paz,21402,Coripata,2017,6,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,6,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,6,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,6,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,6,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,6,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,6,a. Menor de 6 meses / FEMENINO,0
Potosí,50701,Sacaca,2017,6,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,6,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30902,Sipe Sipe,2017,6,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,6,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2017,6,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10801,Villa Serrano,2017,6,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30904,Vinto,2017,6,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10301,Zudañez,2017,6,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,7,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,7,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30905,Colcapirhua,2017,7,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,7,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,7,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71001,Montero,2017,7,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,7,a. Menor de 6 meses / FEMENINO,0
Tarija,60201,Padcaya,2017,7,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,7,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,7,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,7,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,7,a. Menor de 6 meses / FEMENINO,0
Beni,80302,San Borja,2017,7,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71005,San Pedro,2017,7,a. Menor de 6 meses / FEMENINO,0
La Paz,21702,San Pedro De Tiquina,2017,7,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,7,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10403,Sopachuy,2017,7,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,7,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10402,Tomina,2017,7,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70802,Trigal,2017,7,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30904,Vinto,2017,7,a. Menor de 6 meses / FEMENINO,0
Potosí,51302,Acacio,2017,8,a. Menor de 6 meses / FEMENINO,0
Tarija,60202,Bermejo,2017,8,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10901,Camataqui (c. Villa Abecia),2017,8,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,8,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10902,Culpina,2017,8,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,8,a. Menor de 6 meses / FEMENINO,0
La Paz,20602,Guanay,2017,8,a. Menor de 6 meses / FEMENINO,0
Beni,80202,Guayaramerin,2017,8,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,8,a. Menor de 6 meses / FEMENINO,0
Beni,80801,Magdalena,2017,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71001,Montero,2017,8,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,8,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,8,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,8,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,8,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71005,San Pedro,2017,8,a. Menor de 6 meses / FEMENINO,0
Beni,80702,San Ramon Beni,2017,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,8,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,8,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10601,Tarabuco,2017,8,a. Menor de 6 meses / FEMENINO,0
La Paz,20801,Viacha,2017,8,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30904,Vinto,2017,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70201,Warnes,2017,8,a. Menor de 6 meses / FEMENINO,0
Potosí,50103,Yocalla,2017,8,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10102,Yotala,2017,8,a. Menor de 6 meses / FEMENINO,0
Potosí,51302,Acacio,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30201,Aiquile,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30403,Arbieto,2017,9,a. Menor de 6 meses / FEMENINO,0
Potosí,51102,"Caiza ""d""",2017,9,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30905,Colcapirhua,2017,9,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,9,a. Menor de 6 meses / FEMENINO,0
Beni,80202,Guayaramerin,2017,9,a. Menor de 6 meses / FEMENINO,0
Oruro,40701,Huanuni,2017,9,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,9,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,9,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31401,Punata,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30901,Quillacollo,2017,9,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,9,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70402,San Carlos,2017,9,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,9,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10403,Sopachuy,2017,9,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,9,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10601,Tarabuco,2017,9,a. Menor de 6 meses / FEMENINO,0
Potosí,50502,Toro Toro,2017,9,a. Menor de 6 meses / FEMENINO,0
Tarija,60401,Uriondo (a. Concepcion),2017,9,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70201,Warnes,2017,9,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70706,Camiri,2017,10,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,10,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,10,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,10,a. Menor de 6 meses / FEMENINO,0
La Paz,20404,Humanata,2017,10,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70903,Mairana,2017,10,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,10,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,10,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,10,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31401,Punata,2017,10,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70503,Robore,2017,10,a. Menor de 6 meses / FEMENINO,0
Beni,80304,Rurrenabaque,2017,10,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70901,Samaipata,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71104,San Julian,2017,10,a. Menor de 6 meses / FEMENINO,0
Tarija,60501,San Lorenzo(tja),2017,10,a. Menor de 6 meses / FEMENINO,0
Potosí,50501,San Pedro De Buena Vista,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,10,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,10,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2017,10,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31402,Villa Rivero,2017,10,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30904,Vinto,2017,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70201,Warnes,2017,10,a. Menor de 6 meses / FEMENINO,0
Tarija,60202,Bermejo,2017,11,a. Menor de 6 meses / FEMENINO,0
Potosí,51102,"Caiza ""d""",2017,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70706,Camiri,2017,11,a. Menor de 6 meses / FEMENINO,0
La Paz,20302,Caquiaviri,2017,11,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30303,Cocapata,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30905,Colcapirhua,2017,11,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2017,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,11,a. Menor de 6 meses / FEMENINO,0
Oruro,40702,Machacamarca,2017,11,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10501,Monteagudo,2017,11,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2017,11,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30901,Quillacollo,2017,11,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31001,Sacaba,2017,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70901,Samaipata,2017,11,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10702,San Lucas,2017,11,a. Menor de 6 meses / FEMENINO,0
Potosí,50501,San Pedro De Buena Vista,2017,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,11,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10403,Sopachuy,2017,11,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31101,Tapacari,2017,11,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2017,11,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2017,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70201,Warnes,2017,11,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10102,Yotala,2017,11,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2017,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2017,12,a. Menor de 6 meses / FEMENINO,0
La Paz,21402,Coripata,2017,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70105,El Torno,2017,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31206,Entre Rios Cbba,2017,12,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2017,12,a. Menor de 6 meses / FEMENINO,0
Potosí,50101,Potosi,2017,12,a. Menor de 6 meses / FEMENINO,0
Potosí,50402,Ravelo,2017,12,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2017,12,a. Menor de 6 meses / FEMENINO,0
Potosí,50501,San Pedro De Buena Vista,2017,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,12,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10101,Sucre,2017,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30602,Tacopaya,2017,12,a. Menor de 6 meses / FEMENINO,0
La Paz,20807,Taraco,2017,12,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2017,12,a. Menor de 6 meses / FEMENINO,0
Oruro,41502,Todos Santos,2017,12,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2017,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31003,Villa Tunari,2017,12,a. Menor de 6 meses / FEMENINO,0
La Paz,22001,Caranavi,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Oruro,40201,Challapata,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,51103,Ckochas,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30801,Cliza,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70105,El Torno,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,31301,Mizque,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Oruro,40101,Oruro,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10401,Padilla,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20102,Palca,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,50101,Potosi,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,31401,Punata,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,71104,San Julian,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Beni,80702,San Ramon Beni,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30902,Sipe Sipe,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10101,Sucre,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10402,Tomina,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,50801,Tupiza,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20801,Viacha,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30904,Vinto,2017,1,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30403,Arbieto,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,50301,Betanzos,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30905,Colcapirhua,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70102,Cotoca,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,50203,Llallagua,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,31301,Mizque,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10303,Mojocoya,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Oruro,40101,Oruro,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,50101,Potosi,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,31401,Punata,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10101,Sucre,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10601,Tarabuco,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30903,Tiquipaya,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30802,Toco,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Chuquisaca,10801,Villa Serrano,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,51501,Villazon,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Potosí,50103,Yocalla,2017,2,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30201,Aiquile,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,22001,Caranavi,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30801,Cliza,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Pando,90101,Cobija,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Cochabamba,30905,Colcapirhua,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,21402,Coripata,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,71503,El Puente(stc),2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70105,El Torno,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70705,Gutierrez,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
Santa Cruz,70104,La Guardia,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2017,3,b. 6 m a menor de 1 ano / MASCULINO,0
