department,municipality_id,municipality,year,month,population,value
La Paz,20101,La Paz,2008,3,21 a 59 anos / FEMENINO,3
Oruro,40101,Oruro,2008,3,21 a 59 anos / FEMENINO,0
Potosí,50101,Potosi,2008,3,21 a 59 anos / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2008,3,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,3,21 a 59 anos / FEMENINO,0
La Paz,20701,Apolo,2008,4,21 a 59 anos / FEMENINO,0
Tarija,60202,Bermejo,2008,4,21 a 59 anos / FEMENINO,1
Santa Cruz,70401,Buena Vista,2008,4,21 a 59 anos / FEMENINO,1
Potosí,50202,Chayanta,2008,4,21 a 59 anos / FEMENINO,0
La Paz,21401,Coroico,2008,4,21 a 59 anos / FEMENINO,0
La Paz,20105,El Alto,2008,4,21 a 59 anos / FEMENINO,0
Tarija,60601,Entre Rios,2008,4,21 a 59 anos / FEMENINO,0
La Paz,20101,La Paz,2008,4,21 a 59 anos / FEMENINO,0
Oruro,40101,Oruro,2008,4,21 a 59 anos / FEMENINO,1
Beni,80201,Riberalta,2008,4,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,4,21 a 59 anos / FEMENINO,0
Tarija,60101,Tarija,2008,4,21 a 59 anos / FEMENINO,1
La Paz,20608,Teoponte,2008,4,21 a 59 anos / FEMENINO,1
Tarija,60301,Yacuiba,2008,4,21 a 59 anos / FEMENINO,1
Cochabamba,30101,Cochabamba,2008,5,21 a 59 anos / FEMENINO,0
La Paz,20105,El Alto,2008,5,21 a 59 anos / FEMENINO,0
Tarija,60601,Entre Rios,2008,5,21 a 59 anos / FEMENINO,0
La Paz,21601,Gral. J.j. Perez (charazani),2008,5,21 a 59 anos / FEMENINO,3
Beni,80202,Guayaramerin,2008,5,21 a 59 anos / FEMENINO,0
La Paz,20101,La Paz,2008,5,21 a 59 anos / FEMENINO,6
Beni,80801,Magdalena,2008,5,21 a 59 anos / FEMENINO,1
Santa Cruz,71001,Montero,2008,5,21 a 59 anos / FEMENINO,0
Chuquisaca,10401,Padilla,2008,5,21 a 59 anos / FEMENINO,10
Santa Cruz,70503,Robore,2008,5,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,5,21 a 59 anos / FEMENINO,0
Chuquisaca,10403,Sopachuy,2008,5,21 a 59 anos / FEMENINO,0
Tarija,60101,Tarija,2008,5,21 a 59 anos / FEMENINO,0
Potosí,51202,Tomave,2008,5,21 a 59 anos / FEMENINO,2
Tarija,60202,Bermejo,2008,6,21 a 59 anos / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,6,21 a 59 anos / FEMENINO,1
La Paz,20101,La Paz,2008,6,21 a 59 anos / FEMENINO,1
Santa Cruz,71001,Montero,2008,6,21 a 59 anos / FEMENINO,0
Oruro,40101,Oruro,2008,6,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,6,21 a 59 anos / FEMENINO,0
Cochabamba,30903,Tiquipaya,2008,6,21 a 59 anos / FEMENINO,0
Potosí,51202,Tomave,2008,6,21 a 59 anos / FEMENINO,3
Tarija,60303,Villa Montes,2008,6,21 a 59 anos / FEMENINO,1
Cochabamba,30101,Cochabamba,2008,7,21 a 59 anos / FEMENINO,2
La Paz,20105,El Alto,2008,7,21 a 59 anos / FEMENINO,1
Santa Cruz,71002,General Saavedra,2008,7,21 a 59 anos / FEMENINO,1
Beni,80202,Guayaramerin,2008,7,21 a 59 anos / FEMENINO,0
La Paz,20101,La Paz,2008,7,21 a 59 anos / FEMENINO,5
Oruro,40101,Oruro,2008,7,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,7,21 a 59 anos / FEMENINO,0
Potosí,50801,Tupiza,2008,7,21 a 59 anos / FEMENINO,1
Chuquisaca,10102,Yotala,2008,7,21 a 59 anos / FEMENINO,0
Cochabamba,30402,Anzaldo,2008,8,21 a 59 anos / FEMENINO,0
La Paz,20701,Apolo,2008,8,21 a 59 anos / FEMENINO,3
Tarija,60202,Bermejo,2008,8,21 a 59 anos / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,8,21 a 59 anos / FEMENINO,1
Cochabamba,30101,Cochabamba,2008,8,21 a 59 anos / FEMENINO,1
Santa Cruz,71106,Cuatro Cañadas,2008,8,21 a 59 anos / FEMENINO,0
La Paz,20105,El Alto,2008,8,21 a 59 anos / FEMENINO,2
La Paz,20101,La Paz,2008,8,21 a 59 anos / FEMENINO,4
Santa Cruz,70701,Lagunillas,2008,8,21 a 59 anos / FEMENINO,0
Cochabamba,30302,Morochata,2008,8,21 a 59 anos / FEMENINO,0
Santa Cruz,70402,San Carlos,2008,8,21 a 59 anos / FEMENINO,0
Santa Cruz,71201,San Matias,2008,8,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,8,21 a 59 anos / FEMENINO,3
Cochabamba,30903,Tiquipaya,2008,8,21 a 59 anos / FEMENINO,1
La Paz,20801,Viacha,2008,8,21 a 59 anos / FEMENINO,0
Tarija,60202,Bermejo,2008,9,21 a 59 anos / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,9,21 a 59 anos / FEMENINO,1
Santa Cruz,71002,General Saavedra,2008,9,21 a 59 anos / FEMENINO,1
La Paz,20101,La Paz,2008,9,21 a 59 anos / FEMENINO,2
Cochabamba,30404,Sacabamba,2008,9,21 a 59 anos / FEMENINO,0
Beni,80302,San Borja,2008,9,21 a 59 anos / FEMENINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,9,21 a 59 anos / FEMENINO,1
Tarija,60402,Yunchara,2008,9,21 a 59 anos / FEMENINO,0
Tarija,60202,Bermejo,2008,10,21 a 59 anos / FEMENINO,1
Santa Cruz,70401,Buena Vista,2008,10,21 a 59 anos / FEMENINO,1
Cochabamba,30101,Cochabamba,2008,10,21 a 59 anos / FEMENINO,1
La Paz,20105,El Alto,2008,10,21 a 59 anos / FEMENINO,0
La Paz,20101,La Paz,2008,10,21 a 59 anos / FEMENINO,12
Santa Cruz,71401,Puerto Suarez,2008,10,21 a 59 anos / FEMENINO,0
Beni,80304,Rurrenabaque,2008,10,21 a 59 anos / FEMENINO,0
Cochabamba,31001,Sacaba,2008,10,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,10,21 a 59 anos / FEMENINO,1
Chuquisaca,10101,Sucre,2008,10,21 a 59 anos / FEMENINO,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2008,10,21 a 59 anos / FEMENINO,0
Tarija,60301,Yacuiba,2008,10,21 a 59 anos / FEMENINO,0
La Paz,20104,Achocalla,2008,11,21 a 59 anos / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,11,21 a 59 anos / FEMENINO,1
Cochabamba,30101,Cochabamba,2008,11,21 a 59 anos / FEMENINO,0
La Paz,20105,El Alto,2008,11,21 a 59 anos / FEMENINO,2
La Paz,20101,La Paz,2008,11,21 a 59 anos / FEMENINO,4
Cochabamba,31401,Punata,2008,11,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,11,21 a 59 anos / FEMENINO,0
La Paz,20606,Tipuani,2008,11,21 a 59 anos / FEMENINO,0
Santa Cruz,70802,Trigal,2008,11,21 a 59 anos / FEMENINO,3
Tarija,60303,Villa Montes,2008,11,21 a 59 anos / FEMENINO,0
Santa Cruz,70403,Yapacani,2008,11,21 a 59 anos / FEMENINO,0
Santa Cruz,70706,Camiri,2008,12,21 a 59 anos / FEMENINO,1
Cochabamba,30801,Cliza,2008,12,21 a 59 anos / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,12,21 a 59 anos / FEMENINO,1
La Paz,20101,La Paz,2008,12,21 a 59 anos / FEMENINO,6
Cochabamba,31401,Punata,2008,12,21 a 59 anos / FEMENINO,0
Cochabamba,31001,Sacaba,2008,12,21 a 59 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,12,21 a 59 anos / FEMENINO,1
Beni,80101,Trinidad,2008,12,21 a 59 anos / FEMENINO,2
Cochabamba,31302,Vila Vila,2008,12,21 a 59 anos / FEMENINO,0
Tarija,60303,Villa Montes,2008,12,21 a 59 anos / FEMENINO,1
La Paz,20101,La Paz,2008,1,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,1,60 y mas / MASCULINO,0
Santa Cruz,70702,Charagua,2008,2,60 y mas / MASCULINO,0
La Paz,20105,El Alto,2008,2,60 y mas / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,2,60 y mas / MASCULINO,0
Chuquisaca,10601,Tarabuco,2008,2,60 y mas / MASCULINO,0
La Paz,20608,Teoponte,2008,2,60 y mas / MASCULINO,0
Cochabamba,30402,Anzaldo,2008,3,60 y mas / MASCULINO,0
Tarija,60202,Bermejo,2008,3,60 y mas / MASCULINO,0
La Paz,20501,Chuma,2008,3,60 y mas / MASCULINO,0
Tarija,60601,Entre Rios,2008,3,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,3,60 y mas / MASCULINO,1
Oruro,40101,Oruro,2008,3,60 y mas / MASCULINO,1
Potosí,50101,Potosi,2008,3,60 y mas / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2008,3,60 y mas / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,3,60 y mas / MASCULINO,0
La Paz,20701,Apolo,2008,4,60 y mas / MASCULINO,1
Tarija,60202,Bermejo,2008,4,60 y mas / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,4,60 y mas / MASCULINO,0
Potosí,50202,Chayanta,2008,4,60 y mas / MASCULINO,1
La Paz,21401,Coroico,2008,4,60 y mas / MASCULINO,0
La Paz,20105,El Alto,2008,4,60 y mas / MASCULINO,0
Tarija,60601,Entre Rios,2008,4,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,4,60 y mas / MASCULINO,0
Oruro,40101,Oruro,2008,4,60 y mas / MASCULINO,0
Beni,80201,Riberalta,2008,4,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,4,60 y mas / MASCULINO,0
Tarija,60101,Tarija,2008,4,60 y mas / MASCULINO,0
La Paz,20608,Teoponte,2008,4,60 y mas / MASCULINO,0
Tarija,60301,Yacuiba,2008,4,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,5,60 y mas / MASCULINO,0
La Paz,20105,El Alto,2008,5,60 y mas / MASCULINO,0
Tarija,60601,Entre Rios,2008,5,60 y mas / MASCULINO,0
La Paz,21601,Gral. J.j. Perez (charazani),2008,5,60 y mas / MASCULINO,2
Beni,80202,Guayaramerin,2008,5,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,5,60 y mas / MASCULINO,0
Beni,80801,Magdalena,2008,5,60 y mas / MASCULINO,0
Santa Cruz,71001,Montero,2008,5,60 y mas / MASCULINO,0
Chuquisaca,10401,Padilla,2008,5,60 y mas / MASCULINO,0
Santa Cruz,70503,Robore,2008,5,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,5,60 y mas / MASCULINO,0
Chuquisaca,10403,Sopachuy,2008,5,60 y mas / MASCULINO,0
Tarija,60101,Tarija,2008,5,60 y mas / MASCULINO,0
Potosí,51202,Tomave,2008,5,60 y mas / MASCULINO,0
Tarija,60202,Bermejo,2008,6,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,6,60 y mas / MASCULINO,1
La Paz,20101,La Paz,2008,6,60 y mas / MASCULINO,1
Santa Cruz,71001,Montero,2008,6,60 y mas / MASCULINO,1
Oruro,40101,Oruro,2008,6,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,6,60 y mas / MASCULINO,0
Cochabamba,30903,Tiquipaya,2008,6,60 y mas / MASCULINO,2
Potosí,51202,Tomave,2008,6,60 y mas / MASCULINO,0
Tarija,60303,Villa Montes,2008,6,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,7,60 y mas / MASCULINO,1
La Paz,20105,El Alto,2008,7,60 y mas / MASCULINO,0
Santa Cruz,71002,General Saavedra,2008,7,60 y mas / MASCULINO,0
Beni,80202,Guayaramerin,2008,7,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,7,60 y mas / MASCULINO,0
Oruro,40101,Oruro,2008,7,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,7,60 y mas / MASCULINO,0
Potosí,50801,Tupiza,2008,7,60 y mas / MASCULINO,0
Chuquisaca,10102,Yotala,2008,7,60 y mas / MASCULINO,1
Cochabamba,30402,Anzaldo,2008,8,60 y mas / MASCULINO,0
La Paz,20701,Apolo,2008,8,60 y mas / MASCULINO,0
Tarija,60202,Bermejo,2008,8,60 y mas / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,8,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,8,60 y mas / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2008,8,60 y mas / MASCULINO,0
La Paz,20105,El Alto,2008,8,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,8,60 y mas / MASCULINO,0
Santa Cruz,70701,Lagunillas,2008,8,60 y mas / MASCULINO,0
Cochabamba,30302,Morochata,2008,8,60 y mas / MASCULINO,0
Santa Cruz,70402,San Carlos,2008,8,60 y mas / MASCULINO,0
Santa Cruz,71201,San Matias,2008,8,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,8,60 y mas / MASCULINO,0
Cochabamba,30903,Tiquipaya,2008,8,60 y mas / MASCULINO,0
La Paz,20801,Viacha,2008,8,60 y mas / MASCULINO,0
Tarija,60202,Bermejo,2008,9,60 y mas / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,9,60 y mas / MASCULINO,0
Santa Cruz,71002,General Saavedra,2008,9,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,9,60 y mas / MASCULINO,0
Cochabamba,30404,Sacabamba,2008,9,60 y mas / MASCULINO,0
Beni,80302,San Borja,2008,9,60 y mas / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,9,60 y mas / MASCULINO,0
Tarija,60402,Yunchara,2008,9,60 y mas / MASCULINO,0
Tarija,60202,Bermejo,2008,10,60 y mas / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,10,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,10,60 y mas / MASCULINO,0
La Paz,20105,El Alto,2008,10,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,10,60 y mas / MASCULINO,3
Santa Cruz,71401,Puerto Suarez,2008,10,60 y mas / MASCULINO,0
Beni,80304,Rurrenabaque,2008,10,60 y mas / MASCULINO,0
Cochabamba,31001,Sacaba,2008,10,60 y mas / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,10,60 y mas / MASCULINO,0
Chuquisaca,10101,Sucre,2008,10,60 y mas / MASCULINO,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2008,10,60 y mas / MASCULINO,0
Tarija,60301,Yacuiba,2008,10,60 y mas / MASCULINO,0
La Paz,20104,Achocalla,2008,11,60 y mas / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,11,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,11,60 y mas / MASCULINO,1
La Paz,20105,El Alto,2008,11,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,11,60 y mas / MASCULINO,0
Cochabamba,31401,Punata,2008,11,60 y mas / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,11,60 y mas / MASCULINO,0
La Paz,20606,Tipuani,2008,11,60 y mas / MASCULINO,0
Santa Cruz,70802,Trigal,2008,11,60 y mas / MASCULINO,0
Tarija,60303,Villa Montes,2008,11,60 y mas / MASCULINO,1
Santa Cruz,70403,Yapacani,2008,11,60 y mas / MASCULINO,0
Santa Cruz,70706,Camiri,2008,12,60 y mas / MASCULINO,1
Cochabamba,30801,Cliza,2008,12,60 y mas / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,12,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,12,60 y mas / MASCULINO,0
Cochabamba,31401,Punata,2008,12,60 y mas / MASCULINO,1
Cochabamba,31001,Sacaba,2008,12,60 y mas / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,12,60 y mas / MASCULINO,0
Beni,80101,Trinidad,2008,12,60 y mas / MASCULINO,1
Cochabamba,31302,Vila Vila,2008,12,60 y mas / MASCULINO,0
Tarija,60303,Villa Montes,2008,12,60 y mas / MASCULINO,0
La Paz,20101,La Paz,2008,1,60 y mas / FEMENINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,1,60 y mas / FEMENINO,0
Santa Cruz,70702,Charagua,2008,2,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,2,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,2,60 y mas / FEMENINO,0
Chuquisaca,10601,Tarabuco,2008,2,60 y mas / FEMENINO,0
La Paz,20608,Teoponte,2008,2,60 y mas / FEMENINO,0
Cochabamba,30402,Anzaldo,2008,3,60 y mas / FEMENINO,0
Tarija,60202,Bermejo,2008,3,60 y mas / FEMENINO,0
La Paz,20501,Chuma,2008,3,60 y mas / FEMENINO,1
Tarija,60601,Entre Rios,2008,3,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,3,60 y mas / FEMENINO,0
Oruro,40101,Oruro,2008,3,60 y mas / FEMENINO,0
Potosí,50101,Potosi,2008,3,60 y mas / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2008,3,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,3,60 y mas / FEMENINO,0
La Paz,20701,Apolo,2008,4,60 y mas / FEMENINO,0
Tarija,60202,Bermejo,2008,4,60 y mas / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,4,60 y mas / FEMENINO,0
Potosí,50202,Chayanta,2008,4,60 y mas / FEMENINO,0
La Paz,21401,Coroico,2008,4,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,4,60 y mas / FEMENINO,1
Tarija,60601,Entre Rios,2008,4,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,4,60 y mas / FEMENINO,1
Oruro,40101,Oruro,2008,4,60 y mas / FEMENINO,0
Beni,80201,Riberalta,2008,4,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,4,60 y mas / FEMENINO,0
Tarija,60101,Tarija,2008,4,60 y mas / FEMENINO,0
La Paz,20608,Teoponte,2008,4,60 y mas / FEMENINO,0
Tarija,60301,Yacuiba,2008,4,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,5,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,5,60 y mas / FEMENINO,0
Tarija,60601,Entre Rios,2008,5,60 y mas / FEMENINO,0
La Paz,21601,Gral. J.j. Perez (charazani),2008,5,60 y mas / FEMENINO,0
Beni,80202,Guayaramerin,2008,5,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,5,60 y mas / FEMENINO,0
Beni,80801,Magdalena,2008,5,60 y mas / FEMENINO,0
Santa Cruz,71001,Montero,2008,5,60 y mas / FEMENINO,0
Chuquisaca,10401,Padilla,2008,5,60 y mas / FEMENINO,0
Santa Cruz,70503,Robore,2008,5,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,5,60 y mas / FEMENINO,0
Chuquisaca,10403,Sopachuy,2008,5,60 y mas / FEMENINO,0
Tarija,60101,Tarija,2008,5,60 y mas / FEMENINO,0
Potosí,51202,Tomave,2008,5,60 y mas / FEMENINO,0
Tarija,60202,Bermejo,2008,6,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,6,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,6,60 y mas / FEMENINO,0
Santa Cruz,71001,Montero,2008,6,60 y mas / FEMENINO,0
Oruro,40101,Oruro,2008,6,60 y mas / FEMENINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,6,60 y mas / FEMENINO,0
Cochabamba,30903,Tiquipaya,2008,6,60 y mas / FEMENINO,0
Potosí,51202,Tomave,2008,6,60 y mas / FEMENINO,0
Tarija,60303,Villa Montes,2008,6,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,7,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,7,60 y mas / FEMENINO,0
Santa Cruz,71002,General Saavedra,2008,7,60 y mas / FEMENINO,0
Beni,80202,Guayaramerin,2008,7,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,7,60 y mas / FEMENINO,0
Oruro,40101,Oruro,2008,7,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,7,60 y mas / FEMENINO,0
Potosí,50801,Tupiza,2008,7,60 y mas / FEMENINO,0
Chuquisaca,10102,Yotala,2008,7,60 y mas / FEMENINO,0
Cochabamba,30402,Anzaldo,2008,8,60 y mas / FEMENINO,0
La Paz,20701,Apolo,2008,8,60 y mas / FEMENINO,0
Tarija,60202,Bermejo,2008,8,60 y mas / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,8,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,8,60 y mas / FEMENINO,0
Santa Cruz,71106,Cuatro Cañadas,2008,8,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,8,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,8,60 y mas / FEMENINO,1
Santa Cruz,70701,Lagunillas,2008,8,60 y mas / FEMENINO,0
Cochabamba,30302,Morochata,2008,8,60 y mas / FEMENINO,1
Santa Cruz,70402,San Carlos,2008,8,60 y mas / FEMENINO,0
Santa Cruz,71201,San Matias,2008,8,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,8,60 y mas / FEMENINO,0
Cochabamba,30903,Tiquipaya,2008,8,60 y mas / FEMENINO,0
La Paz,20801,Viacha,2008,8,60 y mas / FEMENINO,0
Tarija,60202,Bermejo,2008,9,60 y mas / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,9,60 y mas / FEMENINO,0
Santa Cruz,71002,General Saavedra,2008,9,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,9,60 y mas / FEMENINO,0
Cochabamba,30404,Sacabamba,2008,9,60 y mas / FEMENINO,0
Beni,80302,San Borja,2008,9,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,9,60 y mas / FEMENINO,0
Tarija,60402,Yunchara,2008,9,60 y mas / FEMENINO,0
Tarija,60202,Bermejo,2008,10,60 y mas / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,10,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,10,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,10,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,10,60 y mas / FEMENINO,0
Santa Cruz,71401,Puerto Suarez,2008,10,60 y mas / FEMENINO,0
Beni,80304,Rurrenabaque,2008,10,60 y mas / FEMENINO,0
Cochabamba,31001,Sacaba,2008,10,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,10,60 y mas / FEMENINO,0
Chuquisaca,10101,Sucre,2008,10,60 y mas / FEMENINO,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2008,10,60 y mas / FEMENINO,1
Tarija,60301,Yacuiba,2008,10,60 y mas / FEMENINO,0
La Paz,20104,Achocalla,2008,11,60 y mas / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,11,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,11,60 y mas / FEMENINO,0
La Paz,20105,El Alto,2008,11,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,11,60 y mas / FEMENINO,0
Cochabamba,31401,Punata,2008,11,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,11,60 y mas / FEMENINO,0
La Paz,20606,Tipuani,2008,11,60 y mas / FEMENINO,0
Santa Cruz,70802,Trigal,2008,11,60 y mas / FEMENINO,1
Tarija,60303,Villa Montes,2008,11,60 y mas / FEMENINO,0
Santa Cruz,70403,Yapacani,2008,11,60 y mas / FEMENINO,0
Santa Cruz,70706,Camiri,2008,12,60 y mas / FEMENINO,0
Cochabamba,30801,Cliza,2008,12,60 y mas / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,12,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,12,60 y mas / FEMENINO,0
Cochabamba,31401,Punata,2008,12,60 y mas / FEMENINO,0
Cochabamba,31001,Sacaba,2008,12,60 y mas / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,12,60 y mas / FEMENINO,0
Beni,80101,Trinidad,2008,12,60 y mas / FEMENINO,2
Cochabamba,31302,Vila Vila,2008,12,60 y mas / FEMENINO,0
Tarija,60303,Villa Montes,2008,12,60 y mas / FEMENINO,0
La Paz,20101,La Paz,2008,1,TOTALES / TOTAL-M,2
Santa Cruz,70101,Santa Cruz De La Sierra,2008,1,TOTALES / TOTAL-M,0
Santa Cruz,70702,Charagua,2008,2,TOTALES / TOTAL-M,1
La Paz,20105,El Alto,2008,2,TOTALES / TOTAL-M,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,2,TOTALES / TOTAL-M,0
Chuquisaca,10601,Tarabuco,2008,2,TOTALES / TOTAL-M,1
La Paz,20608,Teoponte,2008,2,TOTALES / TOTAL-M,0
Cochabamba,30402,Anzaldo,2008,3,TOTALES / TOTAL-M,1
Tarija,60202,Bermejo,2008,3,TOTALES / TOTAL-M,0
La Paz,20501,Chuma,2008,3,TOTALES / TOTAL-M,0
Tarija,60601,Entre Rios,2008,3,TOTALES / TOTAL-M,1
La Paz,20101,La Paz,2008,3,TOTALES / TOTAL-M,8
Oruro,40101,Oruro,2008,3,TOTALES / TOTAL-M,1
Potosí,50101,Potosi,2008,3,TOTALES / TOTAL-M,1
Cochabamba,31205,Puerto Villarroel,2008,3,TOTALES / TOTAL-M,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,3,TOTALES / TOTAL-M,0
La Paz,20701,Apolo,2008,4,TOTALES / TOTAL-M,1
Tarija,60202,Bermejo,2008,4,TOTALES / TOTAL-M,0
Santa Cruz,70401,Buena Vista,2008,4,TOTALES / TOTAL-M,0
Potosí,50202,Chayanta,2008,4,TOTALES / TOTAL-M,2
La Paz,21401,Coroico,2008,4,TOTALES / TOTAL-M,1
La Paz,20105,El Alto,2008,4,TOTALES / TOTAL-M,0
Tarija,60601,Entre Rios,2008,4,TOTALES / TOTAL-M,1
La Paz,20101,La Paz,2008,4,TOTALES / TOTAL-M,3
Oruro,40101,Oruro,2008,4,TOTALES / TOTAL-M,0
Beni,80201,Riberalta,2008,4,TOTALES / TOTAL-M,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,4,TOTALES / TOTAL-M,0
Tarija,60101,Tarija,2008,4,TOTALES / TOTAL-M,0
La Paz,20608,Teoponte,2008,4,TOTALES / TOTAL-M,0
Tarija,60301,Yacuiba,2008,4,TOTALES / TOTAL-M,0
Cochabamba,30101,Cochabamba,2008,5,TOTALES / TOTAL-M,2
La Paz,20105,El Alto,2008,5,TOTALES / TOTAL-M,1
Tarija,60601,Entre Rios,2008,5,TOTALES / TOTAL-M,1
